"path","bytes","sha256","tracked","action","reason"
"artifacts/manifests/stage3_cortical_state_feasibility/BIO_STOP_REPORT.md","10412","944ECCF156F46A6CCA8D35453D4F3A46E5DF86AEF489FACED8D7BF717D0F737D","True","REMOVE","Superseded stop or interim static receipt; substantive resolution in current reports and checkpoint 3268329"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_derivation_preflight.log","1393","F298A207E93E583E81D6C018C3DBCF7E05468C1488849F7C4A335BA6279C24EB","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_evidence_recovery.log","1819","0871D33310EB0315484C835FE20B340059C058788564A74F76029282C5E1B05C","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_final_validation.log","491","62368C9561387CEF10024FA05EEF89A7E71F46172B58D99D0BD6099E6891A069","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_finalization_code_mask_test.log","634","3B031732BB58802C8C079A8B2CE91852777704642D7F37606F29715E0F49C445","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_finalize_evidence.log","3450","35FAC70BFB068A5B13441C409EEFC88BE7F55A9AB715129529DB954CA7AE3808","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_independent_recovery_audit.log","506","77590A3A6E0F6B8917FA34E763D6B87FA1C7A4AD5BD5387FF167D611B483D9A8","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_output_code_review.log","505","ECFD3EA319C432F952BB7A61B597617140083665A4D0A415679103218B31098D","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_recovery_audit_code.log","1085","A95B23357BDEE5AAE179342340C9AE03ADCD1AC17D2FA920E5F5EACD1F1AD2B3","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
"artifacts/manifests/stage3_cortical_state_feasibility/execution_logs/stage3_recovery_figures_exports_fixed.log","8015","BE19635E9FC2A9602AE625B3162CDC1526386225B377DF1C3DA80175F8844738","False","REMOVE","Closed temporary execution log; final numerical and validation evidence retained"
